Age,primary_streaming_service,hours_per_day,while_working,Instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,classical,country,edm,folk,gospel,hiphop,jazz,kpop,latin,lofi,metal,pop,r&b,rap,rock,video_game,anxiety,depression,insomnia,ocd,Music effects
26,Spotify,2,TRUE,TRUE,TRUE,Hip hop,TRUE,TRUE,165,Rarely,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Rarely,6,3,1,1,Improve
22,Apple Music,0.5,FALSE,FALSE,FALSE,Hip hop,FALSE,FALSE,113,Sometimes,Never,Very frequently,Never,Never,Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Rarely,7,7,0,1,False effect
16,Spotify,5,TRUE,TRUE,TRUE,Jazz,TRUE,TRUE,167,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Sometimes,Never,7,7,8,4,Improve
17,Spotify,5,TRUE,FALSE,FALSE,Metal,TRUE,TRUE,95,Never,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,4,1,0,0,Improve
19,Spotify,10,TRUE,FALSE,FALSE,R&B,TRUE,TRUE,110,Never,Never,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,7,2,1,5,Improve
18,YouTube Music,2,FALSE,FALSE,FALSE,EDM,FALSE,TRUE,150,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Rarely,Rarely,Sometimes,Very frequently,Very frequently,9,0,5,10,Improve
18,YouTube Music,4,TRUE,FALSE,FALSE,Hip hop,TRUE,TRUE,93,Never,Never,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Sometimes,Very frequently,Very frequently,Rarely,2,7,1,1,Improve
19,Spotify,5,FALSE,TRUE,TRUE,Rock,TRUE,TRUE,90,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,10,8,7,0,Improve
19,Spotify,3,TRUE,FALSE,FALSE,Jazz,TRUE,FALSE,118,Rarely,Never,Never,Sometimes,Never,Rarely,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Rarely,Very frequently,Sometimes,3,0,0,0,Improve
22,Spotify,2,TRUE,FALSE,FALSE,K pop,TRUE,TRUE,126,Never,Never,Never,Never,Never,Rarely,Very frequently,Very frequently,Never,Very frequently,Never,Very frequently,Very frequently,Sometimes,Never,Sometimes,7,8,5,1,False effect
16,Spotify,2.5,TRUE,TRUE,TRUE,Rock,TRUE,TRUE,103,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Sometimes,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Rarely,2,1,0,0,Improve
19,Spotify,3,TRUE,FALSE,FALSE,R&B,TRUE,TRUE,77,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Sometimes,5,4,0,1,Improve
37,Spotify,1,TRUE,FALSE,FALSE,Rock,FALSE,FALSE,115,Rarely,Never,Never,Never,Never,Rarely,Never,Very frequently,Very frequently,Sometimes,Never,Sometimes,Very frequently,Rarely,Rarely,Sometimes,9,10,6,10,False effect
14,Spotify,7,TRUE,TRUE,FALSE,Jazz,FALSE,FALSE,110,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Never,Very frequently,Sometimes,Never,Never,Never,2,0,0,0,Improve
33,I do Falset use a streaming service.,1,FALSE,FALSE,FALSE,Metal,FALSE,TRUE,,Rarely,Never,Very frequently,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Sometimes,5,2,5,1,Improve
26,Spotify,1,FALSE,FALSE,FALSE,R&B,FALSE,FALSE,113,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,3,2,0,0,False effect
32,Spotify,3,TRUE,FALSE,FALSE,Hip hop,FALSE,FALSE,157,Never,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,Very frequently,Never,Rarely,Sometimes,Sometimes,Rarely,2,0,7,0,False effect
30,Spotify,5,TRUE,TRUE,FALSE,Metal,TRUE,FALSE,160,Sometimes,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Very frequently,Sometimes,Never,Sometimes,Very frequently,Sometimes,7,6,6,2,False effect
43,I do Falset use a streaming service.,6,TRUE,TRUE,TRUE,Video game music,TRUE,TRUE,109,Sometimes,Never,Never,Very frequently,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,5,4,8,3,False effect
